,date,W/L,team_name,Opponent
0,01/01/2024,W,mten,
1,01/01/2024,W,mten,
2,01/01/2024,W,mten,
3,01/01/2024,W,mten,
4,01/01/2024,W,mten,
5,01/01/2024,L,mten,
6,01/01/2023,W,mten,
7,01/01/2023,W,mten,
8,01/01/2023,W,mten,
9,01/01/2023,W,mten,
10,01/01/2023,W,mten,
11,01/01/2023,W,mten,
12,01/01/2023,L,mten,
13,01/01/2023,L,mten,
14,01/01/2023,L,mten,
15,01/01/2023,L,mten,
16,01/01/2023,L,mten,
17,01/01/2023,L,mten,
18,01/01/2023,L,mten,
19,01/01/2023,L,mten,
20,01/01/2023,L,mten,
21,01/01/2023,L,mten,
22,01/01/2022,W,mten,
23,01/01/2022,W,mten,
24,01/01/2022,L,mten,
25,01/01/2022,L,mten,
26,01/01/2022,L,mten,
27,01/01/2022,L,mten,
28,01/01/2022,L,mten,
29,01/01/2022,L,mten,
30,01/01/2022,L,mten,
31,01/01/2022,L,mten,
32,01/01/2022,L,mten,
33,01/01/2022,L,mten,
34,01/01/2021,W,mten,
35,01/01/2021,W,mten,
36,01/01/2021,L,mten,
37,01/01/2021,L,mten,
38,01/01/2021,L,mten,
39,01/01/2021,L,mten,
40,01/01/2021,L,mten,
41,01/01/2021,L,mten,
42,01/01/2021,L,mten,
43,01/01/2021,L,mten,
44,01/01/2021,L,mten,
45,01/01/2021,L,mten,
46,01/01/2021,W,mten,
47,01/01/2021,W,mten,
48,01/01/2021,W,mten,
49,01/01/2021,W,mten,
50,01/01/2021,L,mten,
51,01/01/2021,L,mten,
52,01/01/2021,L,mten,
53,01/01/2021,L,mten,
54,01/01/2019,W,mten,
55,01/01/2019,W,mten,
56,01/01/2019,W,mten,
57,01/01/2019,W,mten,
58,01/01/2019,W,mten,
59,01/01/2019,L,mten,
60,01/01/2019,L,mten,
61,01/01/2019,L,mten,
62,01/01/2019,L,mten,
63,01/01/2018,W,mten,
64,01/01/2018,W,mten,
65,01/01/2018,W,mten,
66,01/01/2018,W,mten,
67,01/01/2018,W,mten,
68,01/01/2018,W,mten,
69,01/01/2018,L,mten,
70,01/01/2018,L,mten,
71,01/01/2018,L,mten,
72,01/01/2018,L,mten,
73,01/01/2018,L,mten,
74,01/01/2018,L,mten,
75,01/01/2018,L,mten,
76,01/01/2018,L,mten,
77,01/01/2018,L,mten,
78,01/01/2017,W,mten,
79,01/01/2017,W,mten,
80,01/01/2017,W,mten,
81,01/01/2017,W,mten,
82,01/01/2017,L,mten,
83,01/01/2017,L,mten,
84,01/01/2017,L,mten,
85,01/01/2017,L,mten,
86,01/01/2017,L,mten,
87,01/01/2017,L,mten,
88,01/01/2017,L,mten,
89,01/01/2017,L,mten,
90,01/01/2017,L,mten,
91,01/01/2017,L,mten,
92,01/01/2017,L,mten,
93,01/01/2017,L,mten,
94,01/01/2017,L,mten,
95,01/01/2017,L,mten,
96,01/01/2016,W,mten,
97,01/01/2016,W,mten,
98,01/01/2016,W,mten,
99,01/01/2016,W,mten,
100,01/01/2016,L,mten,
101,01/01/2016,L,mten,
102,01/01/2016,L,mten,
103,01/01/2016,L,mten,
104,01/01/2016,L,mten,
105,01/01/2016,L,mten,
106,01/01/2016,L,mten,
107,01/01/2016,L,mten,
108,01/01/2016,L,mten,
109,01/01/2016,L,mten,
110,01/01/2016,L,mten,
111,01/01/2015,W,mten,
112,01/01/2015,W,mten,
113,01/01/2015,W,mten,
114,01/01/2015,L,mten,
115,01/01/2015,L,mten,
116,01/01/2015,L,mten,
117,01/01/2015,L,mten,
118,01/01/2015,L,mten,
119,01/01/2015,L,mten,
120,01/01/2015,L,mten,
121,01/01/2015,L,mten,
122,01/01/2015,L,mten,
123,01/01/2015,L,mten,
124,01/01/2015,L,mten,
125,01/01/2015,L,mten,
126,01/01/2014,W,mten,
127,01/01/2014,W,mten,
128,01/01/2014,W,mten,
129,01/01/2014,L,mten,
130,01/01/2014,L,mten,
131,01/01/2014,L,mten,
132,01/01/2014,L,mten,
133,01/01/2014,L,mten,
134,01/01/2014,L,mten,
135,01/01/2014,L,mten,
136,01/01/2014,L,mten,
137,01/01/2014,L,mten,
138,01/01/2014,L,mten,
139,01/01/2013,W,mten,
140,01/01/2013,W,mten,
141,01/01/2013,W,mten,
142,01/01/2013,L,mten,
143,01/01/2013,L,mten,
144,01/01/2013,L,mten,
145,01/01/2013,L,mten,
146,01/01/2013,L,mten,
147,01/01/2013,L,mten,
148,01/01/2013,L,mten,
149,01/01/2013,L,mten,
150,01/01/2013,L,mten,
151,01/01/2013,L,mten,
152,01/01/2013,L,mten,
153,01/01/2012,W,mten,
154,01/01/2012,W,mten,
155,01/01/2012,W,mten,
156,01/01/2012,W,mten,
157,01/01/2012,L,mten,
158,01/01/2012,L,mten,
159,01/01/2012,L,mten,
160,01/01/2012,L,mten,
161,01/01/2012,L,mten,
162,01/01/2012,L,mten,
163,01/01/2012,L,mten,
164,01/01/2012,L,mten,
165,01/01/2012,L,mten,
166,01/01/2012,L,mten,
